business_name,niche,city,website,email,pain_angle,status
Dentalship Dentistry,Dental clinic,Toronto,https://dentalship.ca/,Info@dentalship.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Bloor West Dentistry,Dental clinic,Toronto,https://www.bloorwestdentistry.ca/,info@bloorwestdentistry.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Smiles Dentistry,Dental clinic,Toronto,https://www.smilesdentistry.ca/,info@smilesdentistry.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Downtown Toronto Dentistry,Dental clinic,Toronto,https://downtowntorontodentistry.ca/,info@downtowntorontodentistry.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Alta Dental,Dental clinic,Vancouver,https://www.altadental.ca/,info@altadental.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
West Van Family Dental,Dental clinic,West Vancouver,https://wvdental.ca/,info@wvdental.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Nova Dental Clinic,Dental clinic,North Vancouver,https://www.novadentalclinic.ca/,info@novadentalclinic.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Westown Auto,Auto repair/collision,Hamilton,https://westownauto.ca/,info@westownauto.ca,"quote transparency, repair communication, turnaround updates, and post-service review response consistency",ready_for_soft_mini_audit_outreach_not_sent
NV Auto,Auto repair/collision,Hamilton,https://nvauto.ca/,info@nvauto.ca,"quote transparency, repair communication, turnaround updates, and post-service review response consistency",ready_for_soft_mini_audit_outreach_not_sent
Basco Collision Centre,Auto repair/collision,Sudbury,https://www.bascocollision.ca/,info@bascocollision.ca,"quote transparency, repair communication, turnaround updates, and post-service review response consistency",ready_for_soft_mini_audit_outreach_not_sent
Toronto Physiotherapy,Physio/chiro/wellness clinic,Toronto,https://torontophysiotherapy.ca/,info@torontophysiotherapy.ca,"booking friction, treatment-plan expectation setting, wait times, and multi-provider review consistency",ready_for_soft_mini_audit_outreach_not_sent
Toronto Physio & Wellness Clinic,Physio/chiro/wellness clinic,Toronto,https://416wellness.ca/,info@416wellness.ca,"booking friction, treatment-plan expectation setting, wait times, and multi-provider review consistency",ready_for_soft_mini_audit_outreach_not_sent
For Health's Sake,Physio/chiro/wellness clinic,Toronto,https://forhealthssake.ca/,info@forhealthssake.ca,"booking friction, treatment-plan expectation setting, wait times, and multi-provider review consistency",ready_for_soft_mini_audit_outreach_not_sent
Map Rehab,Physio/chiro/wellness clinic,Toronto,https://maprehab.ca/,info@maprehab.ca,"booking friction, treatment-plan expectation setting, wait times, and multi-provider review consistency",ready_for_soft_mini_audit_outreach_not_sent
Evolve Dental Studio,Dental clinic,Delta,https://www.evolvedentalstudio.ca/,info@evolvedentalstudio.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Oasis Dental Studio,Dental clinic,Coquitlam,https://www.oasisdentalstudio.ca/,info@oasisdentalstudio.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Jane and 7 Auto Collision,Auto repair/collision,Vaughan,https://janeand7.com/,INFO@JANEAND7.COM,"quote transparency, repair communication, turnaround updates, and post-service review response consistency",ready_for_soft_mini_audit_outreach_not_sent
Kingsview Dental,Dental clinic,Toronto,https://kingsviewdental.ca/,info@kingsviewdental.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Harmony Dental Studio,Dental clinic,Vaughan,https://harmonydentalstudio.com/,info@harmonydentalstudio.com,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
JunctionWest Dental,Dental clinic,Toronto,https://www.junctionwestdental.ca/,info@junctionwestdental.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
