business_name,niche,city,website,email,pain_angle,status
Artin Dental Clinic downtown Toronto,Dental clinic,Toronto,https://www.artindental.com/,info@artindental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
MJ Dental,Dental clinic,Toronto,https://mjdental.com/,info@mjdental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Broadway Dental,Dental clinic,Toronto,https://www.broadwaydentalclinic.com/contact-us,info@broadwaydentalclinic.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Cornerstone Physiotherapy,Physiotherapy clinic,Toronto,https://cornerstonephysio.com/contact/,info@cornerstonephysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Physiotherapy Toronto,Physiotherapy clinic,Toronto,https://rebuildphysiotherapy.com/,info@rebuildphysiotherapy.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Alpha Health Services,Physiotherapy clinic,Toronto,https://www.alphahealthservices.ca/,info@alphahealthservices.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Peak Physio & Sports Rehab,Physiotherapy clinic,Toronto,https://peakphysiorehab.com/,info@peakphysiorehab.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Kinective Health & Performance,Physiotherapy clinic,Toronto,https://www.kinectivehealth.com/contact,info@kinectivehealth.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Thesmilecentre,Dental clinic,Mississauga,https://thesmilecentre.com/,info@thesmilecentre.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Health First Group,Physiotherapy clinic,Mississauga,https://healthfirstgroup.ca/,info@healthfirstgroup.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Modern Movement,Physiotherapy clinic,Mississauga,https://www.m2modernmovement.ca/,info@m2modernmovement.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Rishaanphysio,Physiotherapy clinic,Mississauga,https://rishaanphysio.com/,info@rishaanphysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Physiotherapy Clinic Mississauga,Physiotherapy clinic,Mississauga,https://www.deltaphysiotherapy.ca/,info@deltaphysiotherapy.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Arc Physio Health,Physiotherapy clinic,Mississauga,https://arcphysiohealth.ca/,info@arcphysiohealth.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Mississauga Auto Repairs,Auto repair,Mississauga,https://mississaugaautorepairs.com/contact.html,service@mississaugaautorepairs.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Maple Vaughan Dental,Dental clinic,Vaughan,https://maplevaughandental.com/,info@maplevaughandental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Onyx Dentistry,Dental clinic,Vaughan,https://onyxdentistry.ca/,info@onyxdentistry.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
crystalline Dental,Dental clinic,Vaughan,https://crystallinedental.com/,info@crystallinedental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Nest Dental Clinic,Dental clinic,Vaughan,https://nestdentalclinic.ca/,info@nestdentalclinic.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Marketplace Dentistry,Dental clinic,Vaughan,https://marketplacedentistry.ca/,info@marketplacedentistry.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
