business_name,niche,city,website,email,pain_angle,status
Sherway Dentistry,Dental clinic,Etobicoke,https://www.sherwaydentistry.com/,reception@sherwaydentistry.com,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Queen Street Dental Centre,Dental clinic,Toronto,https://www.qsdc.ca/,info@qsdc.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Dundas Dental,Dental clinic,Toronto,https://dundasdental.ca/,frontdesk@dundasdental.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
SpaMedica Toronto,Med spa,Toronto,https://www.spamedica.com/,reception@spamedica.com,"booking clarity, treatment expectation-setting, staff experience consistency, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Laserbody MD Mississauga,Med spa,Mississauga,https://www.laserbodymd.ca/,service@laserbodymd.ca,"booking clarity, treatment expectation-setting, staff experience consistency, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Beauty Med Toronto,Med spa,Toronto,https://www.beautymed.ca/,info@beautymed.ca,"booking clarity, treatment expectation-setting, staff experience consistency, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Ace Physio,Physio clinic,Toronto,https://acephysio.ca/,info@acephysio.ca,"booking and intake clarity, treatment-plan expectation-setting, wait-time communication, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Athlete’s Care Sports Medicine Centres,Physio clinic,Toronto,https://www.athletescare.com/,info@athletescare.com,"booking and intake clarity, treatment-plan expectation-setting, wait-time communication, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Annex RMT Physical Health Clinic,Clinic,Toronto,https://www.annexrmt.com/,info@annexrmt.com,"booking and intake clarity, treatment-plan expectation-setting, wait-time communication, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Proactive Pelvic Health Centre,Physio clinic,Toronto,https://www.proactiveph.com/,info@proactiveph.com,"booking and intake clarity, treatment-plan expectation-setting, wait-time communication, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
