business_name,niche,city,website,email,pain_angle,status
Dynamic Dental Scarborough,Dental,Toronto/Scarborough,https://dynamicdental.ca/contact/,info@dynamicdental.ca,"appointment handling, wait times, billing/insurance clarity",ready_for_soft_mini_audit_outreach_not_sent
Medica Laser Spa,Med spa,Toronto,https://www.medicalaserspa.ca/,medicalaserspatoronto@gmail.com,"package clarity, treatment expectations, refund/customer-service friction",ready_for_soft_mini_audit_outreach_not_sent
Skin Vitality Medical Clinic Toronto,Med spa,Toronto,https://www.skinvitality.ca/,info@skinvitality.ca,"sales pressure, billing/refund clarity, booking/service issues",ready_for_soft_mini_audit_outreach_not_sent
Tony Shamas Hair Salon Toronto,Hair salon,Toronto,https://tonyshamas.ca/,info@tonyshamas.ca,"hair result expectations, pricing/value concerns, service mismatch",ready_for_soft_mini_audit_outreach_not_sent
Harbourfront Chiropractic,Chiro,Toronto,https://harbourfrontchiropractic.com/,info@harbourfrontchiropractic.com,"booking/admin friction, billing/insurance issues, service dissatisfaction",ready_for_soft_mini_audit_outreach_not_sent
Bellair Laser Clinic,Med spa,Toronto,https://bellairlaserclinic.ca,info@bellairlaser.com,"booking friction, service consistency, treatment-result expectations",ready_for_soft_mini_audit_outreach_not_sent
OVME Chicago River North,Med spa,Chicago,https://ovme.com,help@ovme.com,"membership/billing friction, appointment issues, support response delays",ready_for_soft_mini_audit_outreach_not_sent
The Vanity Lab,Med spa,Vancouver,https://thevanitylab.com,megan@thevanitylab.com,"injectable outcome expectations, pricing clarity, communication follow-up",ready_for_soft_mini_audit_outreach_not_sent
Skin Technique,Med spa,Vancouver,https://skintechnique.com,info@skintechnique.com,"consult/treatment expectation gaps, booking friction, front-desk communication",ready_for_soft_mini_audit_outreach_not_sent
JECT West Village,Med spa,New York,https://ject.us,info@jectnyc.com,"injectable result concerns, scheduling friction, issue-resolution expectations",ready_for_soft_mini_audit_outreach_not_sent
Peachy Studio Flatiron,Med spa,New York,https://peachystudio.com,hello@peachystudio.com,"Botox result expectations, appointment friction, pricing/model clarity",ready_for_soft_mini_audit_outreach_not_sent
Woodbine & Danforth Dental Care,Dental,Toronto,https://woodbinedanforthdentalcare.ca/contact-us/,info@woodbinedanforthdentalcare.ca,"appointment delays, admin response, treatment communication",ready_for_soft_mini_audit_outreach_not_sent
My Dentist Vancouver,Dental,Vancouver,https://mydentistvancouver.ca/contact-us/,mydentistvancouver@gmail.com,"reception experience, wait times, cost clarity",ready_for_soft_mini_audit_outreach_not_sent
Madison Centre Family Dental,Dental,Burnaby,https://madisoncentredental.com/contact-madison-centre-family-dental/,madisoncentre@familydentalcentres.com,"scheduling, front desk, insurance/pricing clarity",ready_for_soft_mini_audit_outreach_not_sent
Green Life Dental,Dental,Surrey,https://greenlifedental.com/,Greenlifedental11@gmail.com,"delays, communication, treatment expectations",ready_for_soft_mini_audit_outreach_not_sent
