business_name,niche,city,website,email,pain_angle,status
Marble Dental Centre,Dental clinic,Vaughan,https://marbledentalcentre.ca/contact/,info@marbledentalcentre.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Mederm Esthetics,Med spa,Vaughan,https://medermesthetics.com/,info@medermesthetics.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Chiropractor Vaughan,Physiotherapy clinic,Vaughan,https://www.chperformance.ca/,info@chperformance.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
The Physiotherapy Professionals,Physiotherapy clinic,Vaughan,https://thephysiopros.com/contact-info/,info@thephysiopros.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Chiropractic & Physiotherapy Clinic,Physiotherapy clinic,Vaughan,https://www.bodyworxvitality.com/,info@bodyworxvitality.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
HealthBridge Physio,Physiotherapy clinic,Vaughan,https://healthbridgephysio.ca/,info@healthbridgephysio.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Vaughan Auto Service,Auto repair,Vaughan,https://vaughanautoservice.ca/contact-us/,info@vaughanautoservice.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Health Bound Health Network,Physiotherapy clinic,Markham,https://healthbound.ca/markham/,info@healthbound.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Markham Family Auto Center,Auto repair,Markham,https://www.markhamautos.com/contact.php,sales@markhamautos.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Yonge & Seven Dental Care,Dental clinic,Richmond Hill,https://yongeandsevendental.com/,info@yongeandsevendental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Eros medical Spa,Med spa,Richmond Hill,https://erosmedicalspa.com/,info@erosmedicalspa.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
O3 Med Spa,Med spa,Richmond Hill,https://ozonesaunaspa.ca/,info@ozonesaunaspa.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Richmond Hill Physiotherapy,Physiotherapy clinic,Richmond Hill,https://mayaphysio.ca/,info@mayaphysio.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Olde Oakville Dental,Dental clinic,Oakville,https://oldeoakvilledental.com/contact/,info@oldeoakvilledental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Rebecca Dental - Dental office in Oakville,Dental clinic,Oakville,https://rebeccadental.com/,info@rebeccadental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Central Oakville Dental Care,Dental clinic,Oakville,https://codentalcare.ca/,info@codentalcare.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Glenashton Dental Office,Dental clinic,Oakville,https://www.glenashtondental.ca/,info@glenashtondental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Bronte Oak Dental,Dental clinic,Oakville,https://www.bronteoakdental.ca/,info@bronteoakdental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Oakville Dentist,Dental clinic,Oakville,https://www.bhandaridental.com/,info@bhandaridental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Oakville Medical Aesthetics,Med spa,Oakville,https://oakvillemed.ca/,info@oakvillemed.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
